Page,Word,Plural,Countability,regularity,pronunciation
16,foot,feet,countable,irregular,-
16,personality,personalities,countable,regular,s
16,person,people,countable,irregular,-
16,life,lives,countable,irregular,-
16,medium,media,countable,irregular,-
17,voice,voices,countable,regular,iz
17,consequence,consequences,countable,regular,iz
18,responsibility,responsibilities,countable,regular,s
18,anxiety,anxieties,countable,regular,s
19,ability,abilities,countable,regular,s
30,reply,replies,countable,regular,s
39,fry,fries,countable,regular,s
40,dish,dishes,countable,regular,iz
41,mango,mangoes,countable,regular,s
42,sandwich,sandwiches,countable,regular,iz
54,curry,curries,countable,regular,s
54,recipe,recipes,countable,regular,s
54,country,countries,countable,regular,s
